Material,Categoría de impacto,Abreviación,Unidad,A1-A3,A1,A2,A3
Tubo cuadrado de acero_Square tube - 100 × 100 mm; 4 mm thick,Potencial de Calentamiento Global,PCG 100,kg CO2 eq,57.80,,,
Barra de acero_Steel bar,Potencial de Calentamiento Global,PCG 100,kg CO2 eq,2.10,,,
Perfil de acero_Steel hollow section extruded,Potencial de Calentamiento Global,PCG 100,kg CO2 eq,4.60,,,
Tubo de acero_Steel pipe,Potencial de Calentamiento Global,PCG 100,kg CO2 eq,3.50,,,
Tubo de acero_Steel pipe - 21.3 mm outer dia.; 2.6 mm thick,Potencial de Calentamiento Global,PCG 100,kg CO2 eq,4.20,,,
Tubo de acero_Steel pipe - 42.4 mm outer dia.; 2.6 mm thick,Potencial de Calentamiento Global,PCG 100,kg CO2 eq,9.00,,,
Tubo de acero_Steel pipe - 88.9 mm outer dia.; 4 mm thick,Potencial de Calentamiento Global,PCG 100,kg CO2 eq,29.60,,,
Tubo de acero_Steel pipe - 165.1 mm outer dia.; 4.9 mm thick,Potencial de Calentamiento Global,PCG 100,kg CO2 eq,68.50,,,
Varilla_Steel reinforcement bar - 6 mm dia.,Potencial de Calentamiento Global,PCG 100,kg CO2 eq,0.64,,,
Varilla_Steel reinforcement bar - 8 mm dia.,Potencial de Calentamiento Global,PCG 100,kg CO2 eq,1.10,,,
Varilla_Steel reinforcement bar - 12 mm dia.,Potencial de Calentamiento Global,PCG 100,kg CO2 eq,2.60,,,
Lámina corrugada_Steel sheet corrugated,Potencial de Calentamiento Global,PCG 100,kg CO2 eq,5.50,,,
Lámina corrugada_Steel sheet corrugated colorbond,Potencial de Calentamiento Global,PCG 100,kg CO2 eq,24.90,,,
Lámina corrugada_Steel sheet corrugated - per square metre,Potencial de Calentamiento Global,PCG 100,kg CO2 eq,17.90,,,
Asfalto_Asphalt,Potencial de Calentamiento Global,PCG 100,kg CO2 eq,0.20,,,
Alfombra_Nylon carpet,Potencial de Calentamiento Global,PCG 100,kg CO2 eq,31.20,,,
Alfombra_Tufted carpet; nylon - prestige,Potencial de Calentamiento Global,PCG 100,kg CO2 eq,55.30,,,
Alfombra_Tufted carpet; nylon - quality,Potencial de Calentamiento Global,PCG 100,kg CO2 eq,33.30,,,
Alfombra_Tufted carpet; wool - prestige,Potencial de Calentamiento Global,PCG 100,kg CO2 eq,64.20,,,
Alfombra_Tufted carpet; wool - quality,Potencial de Calentamiento Global,PCG 100,kg CO2 eq,49.10,,,
Alfombra_Wool carpet,Potencial de Calentamiento Global,PCG 100,kg CO2 eq,41.00,,,
Alfombra_Woven carpet; nylon - average,Potencial de Calentamiento Global,PCG 100,kg CO2 eq,23.90,,,
Alfombra_Woven carpet; nylon - quality,Potencial de Calentamiento Global,PCG 100,kg CO2 eq,24.80,,,
Silicón_Silicone,Potencial de Calentamiento Global,PCG 100,kg CO2 eq,13.80,,,
Calentador solar de agua_Solar hot water system,Potencial de Calentamiento Global,PCG 100,kg CO2 eq,1863.00,,,
Agua_Water,Potencial de Calentamiento Global,PCG 100,kg CO2 eq,0.00,,,
Pegamento para madera_Wood glue (PVA),Potencial de Calentamiento Global,PCG 100,kg CO2 eq,5.40,,,
Pintura acrilica_Solvent-based paint,Potencial de Calentamiento Global,PCG 100,kg CO2 eq,6.30,,,
Pintura acrilica_Solvent-based paint - per m²,Potencial de Calentamiento Global,PCG 100,kg CO2 eq,0.47,,,
Pintura vinílica_Water-based paint,Potencial de Calentamiento Global,PCG 100,kg CO2 eq,6.80,,,
Pintura vinílica_Water-based paint - per m²,Potencial de Calentamiento Global,PCG 100,kg CO2 eq,0.53,,,
Papel tapiz_Wallpaper,Potencial de Calentamiento Global,PCG 100,kg CO2 eq,16.00,,,
Papel tapiz_Wallpaper - per m²,Potencial de Calentamiento Global,PCG 100,kg CO2 eq,2.80,,,
Caucho natural_Natural rubber,Potencial de Calentamiento Global,PCG 100,kg CO2 eq,2.50,,,
Caucho sintético_Synthetic rubber,Potencial de Calentamiento Global,PCG 100,kg CO2 eq,3.70,,,
Película_HDPE film - 100 μm,Potencial de Calentamiento Global,PCG 100,kg CO2 eq,0.60,,,
Película_HDPE film - 200 μm,Potencial de Calentamiento Global,PCG 100,kg CO2 eq,1.20,,,
Tubo de plástico_HDPE pipe - 32 mm inner dia.; 1.88 mm thickness,Potencial de Calentamiento Global,PCG 100,kg CO2 eq,0.51,,,
Tubo de plástico_HDPE pipe - 63 mm inner dia.; 3.75 mm thickness,Potencial de Calentamiento Global,PCG 100,kg CO2 eq,2.00,,,
Tubo de plástico_HDPE pipe - 125 mm inner dia.; 7.35 mm thickness,Potencial de Calentamiento Global,PCG 100,kg CO2 eq,7.80,,,
Tubo de plástico_HDPE pipe - 250 mm inner dia.; 14.71 mm thickness,Potencial de Calentamiento Global,PCG 100,kg CO2 eq,31.00,,,
Tubo de plástico_HDPE pipe - 500 mm inner dia.; 29.41 mm thickness,Potencial de Calentamiento Global,PCG 100,kg CO2 eq,124.00,,,
