Material,Categoría de impacto,Abreviación,Unidad,A1-A3,A1,A2,A3
Panel de yeso marca USG tablaroca Ultralight,Fresh water aquatic ecotox.,,"kg 1,4-DB eq",0.00,,,
Panel de yeso marca USG tablaroca Ultralight,Marine aquatic ecotoxicity,,"kg 1,4-DB eq",0.00,,,
Panel de yeso marca USG tablaroca Ultralight,Terrestrial ecotoxicity,,"kg 1,4-DB eq",0.00,,,
Panel de yeso marca USG tablaroca Antimoho,Potencial de Agotamiento de Recursos Abióticos Minerales ,PAAe,kg SB eq,0.00,0.00000335,0.00000148,3.97E-08
Panel de yeso marca USG tablaroca Antimoho,Potencial de Agotamiento de Recursos Abióticos Fósiles ,PAAf,MJ,59.00,52.3,6.01,0.691
Panel de yeso marca USG tablaroca Antimoho,Potencial de Calentamiento Global,PCG 100,kg CO2 eq,3.14,1.68,0.403,1.06
Panel de yeso marca USG tablaroca Antimoho,Potencial de Agotamiento de la Capa de Ozono,PAO,kg CFC-11 eq,0.00,0.000000293,0.000000105,1.83E-09
Panel de yeso marca USG tablaroca Antimoho,Potencial de Oxidación Fotoquímica,PFOF,kg C2H4,0.00,0.00105,0.0000735,0.0000261
Panel de yeso marca USG tablaroca Antimoho,Potencial de Acidificación,PA,kg SO2 eq,0.01,0.013,0.00159,0.000204
Panel de yeso marca USG tablaroca Antimoho,Potencial de Eutrofización,PE,kg PO4 eq,0.00,0.0026,0.00038,0.0000438
Panel de yeso marca USG tablaroca Antimoho,Potencial de escasez de agua,EA,m3 eq,1.00,0.102,0.0576,0.845
Panel de yeso marca USG tablaroca Antimoho,Potencial de Formación de Ozono Troposférico,POT,"kg Nox, kg O3, o kg etano",0.00,,,
Panel de yeso marca USG tablaroca Antimoho,Potencial de Agotamiento de recursos energéticos no renovables ,PARNR,MJ,0.00,,,
Panel de yeso marca USG tablaroca Antimoho,Human toxicity,,"kg 1,4-DB eq",0.00,,,
Panel de yeso marca USG tablaroca Antimoho,Fresh water aquatic ecotox.,,"kg 1,4-DB eq",0.00,,,
Panel de yeso marca USG tablaroca Antimoho,Marine aquatic ecotoxicity,,"kg 1,4-DB eq",0.00,,,
Panel de yeso marca USG tablaroca Antimoho,Terrestrial ecotoxicity,,"kg 1,4-DB eq",0.00,,,
Panel de yeso marca USG tablaroca Firecode Type X,Potencial de Agotamiento de Recursos Abióticos Minerales ,PAAe,kg SB eq,0.00,0.00000287,0.000000933,2.01E-08
Panel de yeso marca USG tablaroca Firecode Type X,Potencial de Agotamiento de Recursos Abióticos Fósiles ,PAAf,MJ,50.34,46.1,3.85,0.393
Panel de yeso marca USG tablaroca Firecode Type X,Potencial de Calentamiento Global,PCG 100,kg CO2 eq,2.15,1.2,0.268,0.68
Panel de yeso marca USG tablaroca Firecode Type X,Potencial de Agotamiento de la Capa de Ozono,PAO,kg CFC-11 eq,0.00,0.000000222,8.56E-08,1.04E-09
Panel de yeso marca USG tablaroca Firecode Type X,Potencial de Oxidación Fotoquímica,PFOF,kg C2H4,0.00,0.000996,0.0000502,0.000024
Panel de yeso marca USG tablaroca Firecode Type X,Potencial de Acidificación,PA,kg SO2 eq,0.01,0.0117,0.00105,0.000118
Panel de yeso marca USG tablaroca Firecode Type X,Potencial de Eutrofización,PE,kg PO4 eq,0.00,0.00186,0.000257,0.0000258
Panel de yeso marca USG tablaroca Firecode Type X,Potencial de escasez de agua,EA,m3 eq,0.65,0.105,0.0399,0.504
Panel de yeso marca USG tablaroca Firecode Type X,Potencial de Formación de Ozono Troposférico,POT,"kg Nox, kg O3, o kg etano",0.00,,,
Panel de yeso marca USG tablaroca Firecode Type X,Potencial de Agotamiento de recursos energéticos no renovables ,PARNR,MJ,0.00,,,
Panel de yeso marca USG tablaroca Firecode Type X,Human toxicity,,"kg 1,4-DB eq",0.00,,,
Panel de yeso marca USG tablaroca Firecode Type X,Fresh water aquatic ecotox.,,"kg 1,4-DB eq",0.00,,,
Panel de yeso marca USG tablaroca Firecode Type X,Marine aquatic ecotoxicity,,"kg 1,4-DB eq",0.00,,,
Panel de yeso marca USG tablaroca Firecode Type X,Terrestrial ecotoxicity,,"kg 1,4-DB eq",0.00,,,
Panel de yeso marca USG tablaroca Firecode Type C,Potencial de Agotamiento de Recursos Abióticos Minerales ,PAAe,kg SB eq,0.00,0.00000482,0.00000205,1.49E-08
Panel de yeso marca USG tablaroca Firecode Type C,Potencial de Agotamiento de Recursos Abióticos Fósiles ,PAAf,MJ,61.08,52.1,8.26,0.721
Panel de yeso marca USG tablaroca Firecode Type C,Potencial de Calentamiento Global,PCG 100,kg CO2 eq,3.74,1.87,0.547,1.32
Panel de yeso marca USG tablaroca Firecode Type C,Potencial de Agotamiento de la Capa de Ozono,PAO,kg CFC-11 eq,0.00,0.000000265,0.000000132,1.13E-09
Panel de yeso marca USG tablaroca Firecode Type C,Potencial de Oxidación Fotoquímica,PFOF,kg C2H4,0.00,0.00122,0.0000993,0.0000261
Panel de yeso marca USG tablaroca Firecode Type C,Potencial de Acidificación,PA,kg SO2 eq,0.02,0.0156,0.00218,0.000224
Panel de yeso marca USG tablaroca Firecode Type C,Potencial de Eutrofización,PE,kg PO4 eq,0.00,0.00324,0.000517,0.0000472
Panel de yeso marca USG tablaroca Firecode Type C,Potencial de escasez de agua,EA,m3 eq,1.32,0.182,0.0798,1.06
Panel de yeso marca USG tablaroca Firecode Type C,Potencial de Formación de Ozono Troposférico,POT,"kg Nox, kg O3, o kg etano",0.00,,,
Panel de yeso marca USG tablaroca Firecode Type C,Potencial de Agotamiento de recursos energéticos no renovables ,PARNR,MJ,0.00,,,
Panel de yeso marca USG tablaroca Firecode Type C,Human toxicity,,"kg 1,4-DB eq",0.00,,,
Panel de yeso marca USG tablaroca Firecode Type C,Fresh water aquatic ecotox.,,"kg 1,4-DB eq",0.00,,,
Panel de yeso marca USG tablaroca Firecode Type C,Marine aquatic ecotoxicity,,"kg 1,4-DB eq",0.00,,,
Panel de yeso marca USG tablaroca Firecode Type C,Terrestrial ecotoxicity,,"kg 1,4-DB eq",0.00,,,
Panel de yeso marca USG tablaroca Antimoho Firecode Type X,Potencial de Agotamiento de Recursos Abióticos Minerales ,PAAe,kg SB eq,0.00,0.00000409,0.00000181,1.53E-08
Panel de yeso marca USG tablaroca Antimoho Firecode Type X,Potencial de Agotamiento de Recursos Abióticos Fósiles ,PAAf,MJ,62.57,54.9,6.89,0.777
Panel de yeso marca USG tablaroca Antimoho Firecode Type X,Potencial de Calentamiento Global,PCG 100,kg CO2 eq,3.89,2.1,0.461,1.33
Panel de yeso marca USG tablaroca Antimoho Firecode Type X,Potencial de Agotamiento de la Capa de Ozono,PAO,kg CFC-11 eq,0.00,0.000000382,0.000000116,1.13E-09
Panel de yeso marca USG tablaroca Antimoho Firecode Type X,Potencial de Oxidación Fotoquímica,PFOF,kg C2H4,0.00,0.00128,0.0000846,0.0000264
Panel de yeso marca USG tablaroca Antimoho Firecode Type X,Potencial de Acidificación,PA,kg SO2 eq,0.02,0.0164,0.00183,0.000233
Panel de yeso marca USG tablaroca Antimoho Firecode Type X,Potencial de Eutrofización,PE,kg PO4 eq,0.00,0.0035,0.000438,0.0000483
Panel de yeso marca USG tablaroca Antimoho Firecode Type X,Potencial de escasez de agua,EA,m3 eq,1.31,0.166,0.0805,1.06
Panel de yeso marca USG tablaroca Antimoho Firecode Type X,Potencial de Formación de Ozono Troposférico,POT,"kg Nox, kg O3, o kg etano",0.00,,,
Panel de yeso marca USG tablaroca Antimoho Firecode Type X,Potencial de Agotamiento de recursos energéticos no renovables ,PARNR,MJ,0.00,,,
Panel de yeso marca USG tablaroca Antimoho Firecode Type X,Human toxicity,,"kg 1,4-DB eq",0.00,,,
Panel de yeso marca USG tablaroca Antimoho Firecode Type X,Fresh water aquatic ecotox.,,"kg 1,4-DB eq",0.00,,,
Panel de yeso marca USG tablaroca Antimoho Firecode Type X,Marine aquatic ecotoxicity,,"kg 1,4-DB eq",0.00,,,
Panel de yeso marca USG tablaroca Antimoho Firecode Type X,Terrestrial ecotoxicity,,"kg 1,4-DB eq",0.00,,,
Panel de yeso marca USG tablaroca Liner,Potencial de Agotamiento de Recursos Abióticos Minerales ,PAAe,kg SB eq,0.00,0.00000707,0.0000045,1.52E-08
Panel de yeso marca USG tablaroca Liner,Potencial de Agotamiento de Recursos Abióticos Fósiles ,PAAf,MJ,91.56,75.8,15,0.758
Panel de yeso marca USG tablaroca Liner,Potencial de Calentamiento Global,PCG 100,kg CO2 eq,5.68,3.36,0.987,1.33
Panel de yeso marca USG tablaroca Liner,Potencial de Agotamiento de la Capa de Ozono,PAO,kg CFC-11 eq,0.00,0.000000392,0.000000206,1.13E-09
Panel de yeso marca USG tablaroca Liner,Potencial de Oxidación Fotoquímica,PFOF,kg C2H4,0.00,0.00209,0.000181,0.0000263
Panel de yeso marca USG tablaroca Liner,Potencial de Acidificación,PA,kg SO2 eq,0.03,0.0267,0.00395,0.00023
Panel de yeso marca USG tablaroca Liner,Potencial de Eutrofización,PE,kg PO4 eq,0.01,0.00421,0.000943,0.0000479
Panel de yeso marca USG tablaroca Liner,Potencial de escasez de agua,EA,m3 eq,1.80,0.496,0.239,1.06
Panel de yeso marca USG tablaroca Liner,Potencial de Formación de Ozono Troposférico,POT,"kg Nox, kg O3, o kg etano",0.00,,,
Panel de yeso marca USG tablaroca Liner,Potencial de Agotamiento de recursos energéticos no renovables ,PARNR,MJ,0.00,,,
Panel de yeso marca USG tablaroca Liner,Human toxicity,,"kg 1,4-DB eq",0.00,,,
Panel de yeso marca USG tablaroca Liner,Fresh water aquatic ecotox.,,"kg 1,4-DB eq",0.00,,,
Panel de yeso marca USG tablaroca Liner,Marine aquatic ecotoxicity,,"kg 1,4-DB eq",0.00,,,
Panel de yeso marca USG tablaroca Liner,Terrestrial ecotoxicity,,"kg 1,4-DB eq",0.00,,,
Panel de yeso marca USG tablaroca Sheetrock,Potencial de Agotamiento de Recursos Abióticos Minerales ,PAAe,kg SB eq,0.00,0.00000143,0.000000631,7.24E-09
Panel de yeso marca USG tablaroca Sheetrock,Potencial de Agotamiento de Recursos Abióticos Fósiles ,PAAf,MJ,41.56,38.5,3.01,0.0532
Panel de yeso marca USG tablaroca Sheetrock,Potencial de Calentamiento Global,PCG 100,kg CO2 eq,0.94,0.594,0.21,0.132
Panel de yeso marca USG tablaroca Sheetrock,Potencial de Agotamiento de la Capa de Ozono,PAO,kg CFC-11 eq,0.00,0.000000168,7.22E-08,4.09E-10
Panel de yeso marca USG tablaroca Sheetrock,Potencial de Oxidación Fotoquímica,PFOF,kg C2H4,0.00,0.000715,0.0000393,0.0000257
Panel de yeso marca USG tablaroca Sheetrock,Potencial de Acidificación,PA,kg SO2 eq,0.01,0.0074,0.000818,0.0000122
Panel de yeso marca USG tablaroca Sheetrock,Potencial de Eutrofización,PE,kg PO4 eq,0.00,0.000657,0.000201,0.00000349
Panel de yeso marca USG tablaroca Sheetrock,Potencial de escasez de agua,EA,m3 eq,0.05,0.0199,0.0192,0.00798
Panel de yeso marca USG tablaroca Sheetrock,Potencial de Formación de Ozono Troposférico,POT,"kg Nox, kg O3, o kg etano",0.00,,,
Panel de yeso marca USG tablaroca Sheetrock,Potencial de Agotamiento de recursos energéticos no renovables ,PARNR,MJ,0.00,,,
Panel de yeso marca USG tablaroca Sheetrock,Human toxicity,,"kg 1,4-DB eq",0.00,,,
Panel de yeso marca USG tablaroca Sheetrock,Fresh water aquatic ecotox.,,"kg 1,4-DB eq",0.00,,,
Panel de yeso marca USG tablaroca Sheetrock,Marine aquatic ecotoxicity,,"kg 1,4-DB eq",0.00,,,
Panel de yeso marca USG tablaroca Sheetrock,Terrestrial ecotoxicity,,"kg 1,4-DB eq",0.00,,,
Panel de yeso marca USG tablaroca Sheetrock con recubrimiento de yeso,Potencial de Agotamiento de Recursos Abióticos Minerales ,PAAe,kg SB eq,0.00,0.00000262,0.00000118,1.52E-08
Panel de yeso marca USG tablaroca Sheetrock con recubrimiento de yeso,Potencial de Agotamiento de Recursos Abióticos Fósiles ,PAAf,MJ,50.72,45.4,4.56,0.758
Panel de yeso marca USG tablaroca Sheetrock con recubrimiento de yeso,Potencial de Calentamiento Global,PCG 100,kg CO2 eq,3.09,1.45,0.312,1.33
Panel de yeso marca USG tablaroca Sheetrock con recubrimiento de yeso,Potencial de Agotamiento de la Capa de Ozono,PAO,kg CFC-11 eq,0.00,0.000000233,8.94E-08,1.13E-09
Panel de yeso marca USG tablaroca Sheetrock con recubrimiento de yeso,Potencial de Oxidación Fotoquímica,PFOF,kg C2H4,0.00,0.00102,0.0000581,0.0000263
Panel de yeso marca USG tablaroca Sheetrock con recubrimiento de yeso,Potencial de Acidificación,PA,kg SO2 eq,0.01,0.0123,0.00123,0.00023
Panel de yeso marca USG tablaroca Sheetrock con recubrimiento de yeso,Potencial de Eutrofización,PE,kg PO4 eq,0.00,0.00252,0.000299,0.0000479
Panel de yeso marca USG tablaroca Sheetrock con recubrimiento de yeso,Potencial de escasez de agua,EA,m3 eq,1.20,0.0902,0.0529,1.06
Panel de yeso marca USG tablaroca Sheetrock con recubrimiento de yeso,Potencial de Formación de Ozono Troposférico,POT,"kg Nox, kg O3, o kg etano",0.00,,,
Panel de yeso marca USG tablaroca Sheetrock con recubrimiento de yeso,Potencial de Agotamiento de recursos energéticos no renovables ,PARNR,MJ,0.00,,,
Panel de yeso marca USG tablaroca Sheetrock con recubrimiento de yeso,Human toxicity,,"kg 1,4-DB eq",0.00,,,
Panel de yeso marca USG tablaroca Sheetrock con recubrimiento de yeso,Fresh water aquatic ecotox.,,"kg 1,4-DB eq",0.00,,,
Panel de yeso marca USG tablaroca Sheetrock con recubrimiento de yeso,Marine aquatic ecotoxicity,,"kg 1,4-DB eq",0.00,,,
Panel de yeso marca USG tablaroca Sheetrock con recubrimiento de yeso,Terrestrial ecotoxicity,,"kg 1,4-DB eq",0.00,,,
Panel de yeso marca USG tablaroca con recubrimiento de vidrio,Potencial de Agotamiento de Recursos Abióticos Minerales ,PAAe,kg SB eq,0.00,0.0000026,0.00000142,1.75E-08
Panel de yeso marca USG tablaroca con recubrimiento de vidrio,Potencial de Agotamiento de Recursos Abióticos Fósiles ,PAAf,MJ,53.42,47.5,5.19,0.726
Panel de yeso marca USG tablaroca con recubrimiento de vidrio,Potencial de Calentamiento Global,PCG 100,kg CO2 eq,3.08,1.5,0.354,1.23
Panel de yeso marca USG tablaroca con recubrimiento de vidrio,Potencial de Agotamiento de la Capa de Ozono,PAO,kg CFC-11 eq,0.00,0.000000315,9.78E-08,1.29E-09
Panel de yeso marca USG tablaroca con recubrimiento de vidrio,Potencial de Oxidación Fotoquímica,PFOF,kg C2H4,0.00,0.00107,0.0000658,0.0000265
Panel de yeso marca USG tablaroca con recubrimiento de vidrio,Potencial de Acidificación,PA,kg SO2 eq,0.01,0.0127,0.00139,0.000219
Panel de yeso marca USG tablaroca con recubrimiento de vidrio,Potencial de Eutrofización,PE,kg PO4 eq,0.00,0.00195,0.000337,0.0000464
Panel de yeso marca USG tablaroca con recubrimiento de vidrio,Potencial de escasez de agua,EA,m3 eq,1.17,0.103,0.069,0.994
Panel de yeso marca USG tablaroca con recubrimiento de vidrio,Potencial de Formación de Ozono Troposférico,POT,"kg Nox, kg O3, o kg etano",0.00,,,
Panel de yeso marca USG tablaroca con recubrimiento de vidrio,Potencial de Agotamiento de recursos energéticos no renovables ,PARNR,MJ,0.00,,,
Panel de yeso marca USG tablaroca con recubrimiento de vidrio,Human toxicity,,"kg 1,4-DB eq",0.00,,,
Panel de yeso marca USG tablaroca con recubrimiento de vidrio,Fresh water aquatic ecotox.,,"kg 1,4-DB eq",0.00,,,
Panel de yeso marca USG tablaroca con recubrimiento de vidrio,Marine aquatic ecotoxicity,,"kg 1,4-DB eq",0.00,,,
Panel de yeso marca USG tablaroca con recubrimiento de vidrio,Terrestrial ecotoxicity,,"kg 1,4-DB eq",0.00,,,
Panel de cemento marca USG Durock,Potencial de Agotamiento de Recursos Abióticos Minerales ,PAAe,kg SB eq,0.00,0.00000485,0.0000021,0.000000627
Panel de cemento marca USG Durock,Potencial de Agotamiento de Recursos Abióticos Fósiles ,PAAf,MJ,60.32,41.7,13.5,5.12
Panel de cemento marca USG Durock,Potencial de Calentamiento Global,PCG 100,kg CO2 eq,7.74,6.54,0.84,0.36
Panel de cemento marca USG Durock,Potencial de Agotamiento de la Capa de Ozono,PAO,kg CFC-11 eq,0.00,0.000000274,0.000000158,2.38E-08
Panel de cemento marca USG Durock,Potencial de Oxidación Fotoquímica,PFOF,kg C2H4,0.00,0.00168,0.000145,0.00014
Panel de cemento marca USG Durock,Potencial de Acidificación,PA,kg SO2 eq,0.03,0.02,0.00343,0.00175
Panel de cemento marca USG Durock,Potencial de Eutrofización,PE,kg PO4 eq,0.01,0.00398,0.000767,0.00071
Panel de cemento marca USG Durock,Potencial de escasez de agua,EA,m3 eq,1.60,1.09,0.04,0.47
Panel de cemento marca USG Durock,Potencial de Formación de Ozono Troposférico,POT,"kg Nox, kg O3, o kg etano",0.00,,,
Panel de cemento marca USG Durock,Potencial de Agotamiento de recursos energéticos no renovables ,PARNR,MJ,0.00,,,
Panel de cemento marca USG Durock,Human toxicity,,"kg 1,4-DB eq",0.00,,,
Panel de cemento marca USG Durock,Fresh water aquatic ecotox.,,"kg 1,4-DB eq",0.00,,,
Panel de cemento marca USG Durock,Marine aquatic ecotoxicity,,"kg 1,4-DB eq",0.00,,,
Panel de cemento marca USG Durock,Terrestrial ecotoxicity,,"kg 1,4-DB eq",0.00,,,
Panel de cemento marca USG Duracrete,Potencial de Agotamiento de Recursos Abióticos Minerales ,PAAe,kg SB eq,0.00,0.00000477,0.00000263,0.00000072
Panel de cemento marca USG Duracrete,Potencial de Agotamiento de Recursos Abióticos Fósiles ,PAAf,MJ,68.63,44.4,18.9,5.33
Panel de cemento marca USG Duracrete,Potencial de Calentamiento Global,PCG 100,kg CO2 eq,8.90,7.34,1.16,0.4
Panel de cemento marca USG Duracrete,Potencial de Agotamiento de la Capa de Ozono,PAO,kg CFC-11 eq,0.00,0.000000295,0.000000219,2.75E-08
Panel de cemento marca USG Duracrete,Potencial de Oxidación Fotoquímica,PFOF,kg C2H4,0.00,0.00179,0.0002,0.000157
Panel de cemento marca USG Duracrete,Potencial de Acidificación,PA,kg SO2 eq,0.03,0.02,0.00473,0.00202
Panel de cemento marca USG Duracrete,Potencial de Eutrofización,PE,kg PO4 eq,0.01,0.0043,0.00106,0.000822
Panel de cemento marca USG Duracrete,Potencial de escasez de agua,EA,m3 eq,1.70,1.16,0.07,0.47
Panel de cemento marca USG Duracrete,Potencial de Formación de Ozono Troposférico,POT,"kg Nox, kg O3, o kg etano",0.00,,,
Panel de cemento marca USG Duracrete,Potencial de Agotamiento de recursos energéticos no renovables ,PARNR,MJ,0.00,,,
Panel de cemento marca USG Duracrete,Human toxicity,,"kg 1,4-DB eq",0.00,,,
Panel de cemento marca USG Duracrete,Fresh water aquatic ecotox.,,"kg 1,4-DB eq",0.00,,,
Panel de cemento marca USG Duracrete,Marine aquatic ecotoxicity,,"kg 1,4-DB eq",0.00,,,
Panel de cemento marca USG Duracrete,Terrestrial ecotoxicity,,"kg 1,4-DB eq",0.00,,,
Acero laminado en caliente grado A36 marca TERNIUM,Potencial de Agotamiento de Recursos Abióticos Minerales ,PAAe,kg SB eq,0.00,0.000337,0.000155,0.0000226
Acero laminado en caliente grado A36 marca TERNIUM,Potencial de Agotamiento de Recursos Abióticos Fósiles ,PAAf,MJ,21535.00,17641,1401,2493
Acero laminado en caliente grado A36 marca TERNIUM,Potencial de Calentamiento Global,PCG 100,kg CO2 eq,1053.00,762,89,202
Acero laminado en caliente grado A36 marca TERNIUM,Potencial de Agotamiento de la Capa de Ozono,PAO,kg CFC-11 eq,0.00,0.000133,0.0000158,0.0000184
Acero laminado en caliente grado A36 marca TERNIUM,Potencial de Oxidación Fotoquímica,PFOF,kg C2H4,0.52,0.47,0.02,0.03
Acero laminado en caliente grado A36 marca TERNIUM,Potencial de Acidificación,PA,kg SO2 eq,6.90,5.9,0.4,0.6
Acero laminado en caliente grado A36 marca TERNIUM,Potencial de Eutrofización,PE,kg PO4 eq,0.70,0.5,0.1,0.1
Acero laminado en caliente grado A36 marca TERNIUM,Potencial de escasez de agua,EA,m3 eq,173.00,13,6,154
Acero laminado en caliente grado A36 marca TERNIUM,Potencial de Formación de Ozono Troposférico,POT,"kg Nox, kg O3, o kg etano",0.00,,,
Acero laminado en caliente grado A36 marca TERNIUM,Potencial de Agotamiento de recursos energéticos no renovables ,PARNR,MJ,0.00,,,
Acero laminado en caliente grado A36 marca TERNIUM,Human toxicity,,"kg 1,4-DB eq",0.00,,,
Acero laminado en caliente grado A36 marca TERNIUM,Fresh water aquatic ecotox.,,"kg 1,4-DB eq",0.00,,,
Acero laminado en caliente grado A36 marca TERNIUM,Marine aquatic ecotoxicity,,"kg 1,4-DB eq",0.00,,,
Acero laminado en caliente grado A36 marca TERNIUM,Terrestrial ecotoxicity,,"kg 1,4-DB eq",0.00,,,
Acero laminado en caliente grado A50 marca TERNIUM,Potencial de Agotamiento de Recursos Abióticos Minerales ,PAAe,kg SB eq,0.00,0.000337,0.000155,0.0000226
Acero laminado en caliente grado A50 marca TERNIUM,Potencial de Agotamiento de Recursos Abióticos Fósiles ,PAAf,MJ,21535.00,17641,1401,2493
Acero laminado en caliente grado A50 marca TERNIUM,Potencial de Calentamiento Global,PCG 100,kg CO2 eq,1053.00,762,89,202
Acero laminado en caliente grado A50 marca TERNIUM,Potencial de Agotamiento de la Capa de Ozono,PAO,kg CFC-11 eq,0.00,0.000133,0.0000158,0.0000184
Acero laminado en caliente grado A50 marca TERNIUM,Potencial de Oxidación Fotoquímica,PFOF,kg C2H4,0.52,0.47,0.02,0.03
Acero laminado en caliente grado A50 marca TERNIUM,Potencial de Acidificación,PA,kg SO2 eq,6.90,5.9,0.4,0.6
Acero laminado en caliente grado A50 marca TERNIUM,Potencial de Eutrofización,PE,kg PO4 eq,0.70,0.5,0.1,0.1
Acero laminado en caliente grado A50 marca TERNIUM,Potencial de escasez de agua,EA,m3 eq,173.00,13,6,154
Acero laminado en caliente grado A50 marca TERNIUM,Potencial de Formación de Ozono Troposférico,POT,"kg Nox, kg O3, o kg etano",0.00,,,
Acero laminado en caliente grado A50 marca TERNIUM,Potencial de Agotamiento de recursos energéticos no renovables ,PARNR,MJ,0.00,,,
Acero laminado en caliente grado A50 marca TERNIUM,Human toxicity,,"kg 1,4-DB eq",0.00,,,
Acero laminado en caliente grado A50 marca TERNIUM,Fresh water aquatic ecotox.,,"kg 1,4-DB eq",0.00,,,
Acero laminado en caliente grado A50 marca TERNIUM,Marine aquatic ecotoxicity,,"kg 1,4-DB eq",0.00,,,
Acero laminado en caliente grado A50 marca TERNIUM,Terrestrial ecotoxicity,,"kg 1,4-DB eq",0.00,,,
Acero laminado en caliente grado A55 marca TERNIUM,Potencial de Agotamiento de Recursos Abióticos Minerales ,PAAe,kg SB eq,0.00,0.000337,0.000155,0.0000226
Acero laminado en caliente grado A55 marca TERNIUM,Potencial de Agotamiento de Recursos Abióticos Fósiles ,PAAf,MJ,21535.00,17641,1401,2493
Acero laminado en caliente grado A55 marca TERNIUM,Potencial de Calentamiento Global,PCG 100,kg CO2 eq,1053.00,762,89,202
Acero laminado en caliente grado A55 marca TERNIUM,Potencial de Agotamiento de la Capa de Ozono,PAO,kg CFC-11 eq,0.00,0.000133,0.0000158,0.0000184
Acero laminado en caliente grado A55 marca TERNIUM,Potencial de Oxidación Fotoquímica,PFOF,kg C2H4,0.52,0.47,0.02,0.03
Acero laminado en caliente grado A55 marca TERNIUM,Potencial de Acidificación,PA,kg SO2 eq,6.90,5.9,0.4,0.6
Acero laminado en caliente grado A55 marca TERNIUM,Potencial de Eutrofización,PE,kg PO4 eq,0.70,0.5,0.1,0.1
Acero laminado en caliente grado A55 marca TERNIUM,Potencial de escasez de agua,EA,m3 eq,173.00,13,6,154
Acero laminado en caliente grado A55 marca TERNIUM,Potencial de Formación de Ozono Troposférico,POT,"kg Nox, kg O3, o kg etano",0.00,,,
Acero laminado en caliente grado A55 marca TERNIUM,Potencial de Agotamiento de recursos energéticos no renovables ,PARNR,MJ,0.00,,,
Acero laminado en caliente grado A55 marca TERNIUM,Human toxicity,,"kg 1,4-DB eq",0.00,,,
Acero laminado en caliente grado A55 marca TERNIUM,Fresh water aquatic ecotox.,,"kg 1,4-DB eq",0.00,,,
Acero laminado en caliente grado A55 marca TERNIUM,Marine aquatic ecotoxicity,,"kg 1,4-DB eq",0.00,,,
Acero laminado en caliente grado A55 marca TERNIUM,Terrestrial ecotoxicity,,"kg 1,4-DB eq",0.00,,,
Acero laminado en caliente grado A60 marca TERNIUM,Potencial de Agotamiento de Recursos Abióticos Minerales ,PAAe,kg SB eq,0.00,0.000337,0.000155,0.0000226
Acero laminado en caliente grado A60 marca TERNIUM,Potencial de Agotamiento de Recursos Abióticos Fósiles ,PAAf,MJ,21535.00,17641,1401,2493
Acero laminado en caliente grado A60 marca TERNIUM,Potencial de Calentamiento Global,PCG 100,kg CO2 eq,1053.00,762,89,202
Acero laminado en caliente grado A60 marca TERNIUM,Potencial de Agotamiento de la Capa de Ozono,PAO,kg CFC-11 eq,0.00,0.000133,0.0000158,0.0000184
Acero laminado en caliente grado A60 marca TERNIUM,Potencial de Oxidación Fotoquímica,PFOF,kg C2H4,0.52,0.47,0.02,0.03
Acero laminado en caliente grado A60 marca TERNIUM,Potencial de Acidificación,PA,kg SO2 eq,6.90,5.9,0.4,0.6
Acero laminado en caliente grado A60 marca TERNIUM,Potencial de Eutrofización,PE,kg PO4 eq,0.70,0.5,0.1,0.1
Acero laminado en caliente grado A60 marca TERNIUM,Potencial de escasez de agua,EA,m3 eq,173.00,13,6,154
Acero laminado en caliente grado A60 marca TERNIUM,Potencial de Formación de Ozono Troposférico,POT,"kg Nox, kg O3, o kg etano",0.00,,,
Acero laminado en caliente grado A60 marca TERNIUM,Potencial de Agotamiento de recursos energéticos no renovables ,PARNR,MJ,0.00,,,
Acero laminado en caliente grado A60 marca TERNIUM,Human toxicity,,"kg 1,4-DB eq",0.00,,,
Acero laminado en caliente grado A60 marca TERNIUM,Fresh water aquatic ecotox.,,"kg 1,4-DB eq",0.00,,,
Acero laminado en caliente grado A60 marca TERNIUM,Marine aquatic ecotoxicity,,"kg 1,4-DB eq",0.00,,,
Acero laminado en caliente grado A60 marca TERNIUM,Terrestrial ecotoxicity,,"kg 1,4-DB eq",0.00,,,
Panel metálico con aislamiento térmico para techos marca Ternium Multytecho,Potencial de Agotamiento de Recursos Abióticos Minerales ,PAAe,kg SB eq,0.00,0.00192,0.000000378,0.000000258
Panel metálico con aislamiento térmico para techos marca Ternium Multytecho,Potencial de Agotamiento de Recursos Abióticos Fósiles ,PAAf,MJ,547.00,515,2,30
Panel metálico con aislamiento térmico para techos marca Ternium Multytecho,Potencial de Calentamiento Global,PCG 100,kg CO2 eq,46.90,45.5,0.1,1.3
Panel metálico con aislamiento térmico para techos marca Ternium Multytecho,Potencial de Agotamiento de la Capa de Ozono,PAO,kg CFC-11 eq,0.00,0.00197,2.27E-08,7.41E-08
Panel metálico con aislamiento térmico para techos marca Ternium Multytecho,Potencial de Oxidación Fotoquímica,PFOF,kg C2H4,0.01,0.00905,0.0000219,0.000234
Panel metálico con aislamiento térmico para techos marca Ternium Multytecho,Potencial de Acidificación,PA,kg SO2 eq,0.17,0.17,0.000504,0.0041
Panel metálico con aislamiento térmico para techos marca Ternium Multytecho,Potencial de Eutrofización,PE,kg PO4 eq,0.03,0.03,0.000113,0.000469
